animal_id,species,age,breed,previous_mastitis,lactation,milk_production,abnormal_milk,clots_flakes,watery_milk,color_change,udder_swelling,udder_heat,udder_pain,udder_redness,udder_hardness,somatic_cell_count,milk_conductivity,milk_ph,mastitis
BOV-1052,Buffalo,4,Murrah,No,3,normal,No,No,No,No,No,No,No,No,No,65310,4.56,6.6,0
BOV-1053,Buffalo,8,Local,No,6,normal,No,No,No,No,No,Don't Know,No,No,No,142495,5.78,6.63,0
BOV-1054,Cow,11,Holstein,Yes,8,decreased,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,654070,8.13,7.11,1
BOV-1055,Buffalo,11,Nili-Ravi,No,8,normal,No,No,No,No,No,No,Don't Know,No,No,189754,4.68,6.45,0
BOV-1056,Cow,6,Crossbred,No,5,normal,No,No,Yes,Yes,No,Don't Know,No,No,No,144574,4.83,6.6,0
BOV-1057,Cow,8,Gir,No,7,normal,No,No,No,No,No,No,Don't Know,No,No,172092,5.13,6.63,0
BOV-1058,Cow,3,Sahiwal,No,1,decreased,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,1570727,8.77,6.88,1
BOV-1059,Cow,5,Crossbred,No,3,normal,No,Yes,No,No,Yes,No,Yes,Yes,No,1709695,8.07,6.95,1
BOV-1060,Cow,3,Gir,No,1,normal,No,No,No,No,No,Yes,No,No,No,68309,5.56,6.68,0
BOV-1061,Cow,8,Gir,Don't Know,6,normal,No,No,No,No,No,No,Yes,No,No,71491,4.62,6.64,0
BOV-1062,Buffalo,3,Murrah,Yes,1,normal,No,No,No,No,No,No,No,No,No,61750,5.58,6.69,0
BOV-1063,Cow,2,Jersey,No,1,normal,No,No,No,No,No,No,No,No,No,102877,5.46,6.6,0
BOV-1064,Cow,10,Jersey,Yes,8,decreased,Yes,Yes,No,Yes,No,Yes,Yes,No,No,1080436,7.83,7.28,1
BOV-1065,Cow,2,Crossbred,No,1,normal,No,No,No,No,No,No,No,No,No,59670,4.56,6.49,0
BOV-1066,Cow,9,Jersey,No,8,normal,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,603008,8.95,7.4,1
BOV-1067,Buffalo,3,Local,Don't Know,1,normal,No,No,No,No,No,No,No,No,No,184943,5.38,6.49,0
BOV-1068,Cow,9,Jersey,Don't Know,7,normal,No,No,No,No,No,No,Don't Know,No,No,65418,4.65,6.68,0
BOV-1069,Buffalo,4,Murrah,Yes,3,normal,No,No,Yes,No,No,No,No,No,No,78657,4.73,6.48,0
BOV-1070,Buffalo,7,Local,Yes,6,normal,No,No,No,No,No,Yes,No,No,No,102728,4.63,6.43,0
BOV-1071,Cow,4,Jersey,No,3,decreased,Yes,Yes,No,No,Yes,Yes,No,No,Yes,1709520,7.91,6.99,1
BOV-1072,Cow,8,Sahiwal,No,7,normal,No,No,No,No,No,No,No,No,No,97224,5.01,6.58,0
BOV-1073,Buffalo,11,Murrah,Yes,8,normal,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,2241443,6.53,6.94,1
BOV-1074,Cow,10,Crossbred,No,8,normal,No,No,Yes,No,No,No,No,No,No,113966,4.76,6.48,0
BOV-1075,Cow,3,Holstein,No,1,normal,No,No,No,No,No,Yes,No,No,No,52077,5.12,6.41,0
BOV-1076,Buffalo,6,Murrah,Don't Know,5,normal,No,No,No,No,No,No,Yes,No,No,85403,5.28,6.52,0
BOV-1077,Cow,7,Holstein,Yes,5,normal,No,No,No,No,No,Yes,Yes,No,No,194214,4.76,6.48,0
BOV-1078,Cow,5,Gir,No,3,decreased,No,No,No,No,Yes,Yes,Yes,No,Yes,1375709,9.03,7.39,1
BOV-1079,Cow,5,Gir,No,3,normal,No,No,No,No,No,Don't Know,Don't Know,No,No,74631,4.57,6.5,0
BOV-1080,Buffalo,5,Nili-Ravi,No,3,normal,No,No,No,No,No,Yes,No,No,No,121109,4.72,6.42,0
BOV-1081,Cow,3,Holstein,No,1,normal,No,No,No,No,No,No,No,No,No,189434,5.45,6.55,0
BOV-1082,Cow,5,Crossbred,No,3,decreased,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,589345,6.99,7.37,1
BOV-1083,Cow,2,Sahiwal,Yes,1,normal,Yes,Yes,No,No,Yes,Yes,Yes,No,No,472711,8.47,7.14,1
BOV-1084,Cow,7,Sahiwal,No,5,decreased,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,949793,8.27,6.92,1
BOV-1085,Cow,2,Jersey,No,1,normal,No,No,No,No,No,Yes,No,No,No,78384,5.17,6.44,0
BOV-1086,Cow,11,Crossbred,Yes,8,decreased,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,637183,7.36,6.86,1
BOV-1087,Cow,7,Gir,No,5,decreased,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,1463768,6.83,7.15,1
BOV-1088,Buffalo,2,Murrah,Yes,1,decreased,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,1238701,7.68,7.16,1
BOV-1089,Cow,7,Jersey,Yes,5,decreased,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,1689920,7.55,7.32,1
BOV-1090,Cow,11,Sahiwal,No,8,decreased,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,1958631,7.06,6.88,1
BOV-1091,Cow,9,Gir,No,7,decreased,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,2319038,6.61,7.11,1
BOV-1092,Buffalo,3,Jafarabadi,No,2,normal,No,No,No,No,No,No,Don't Know,No,No,76456,5.75,6.53,0
BOV-1093,Cow,3,Holstein,No,1,normal,No,No,No,No,No,No,Yes,No,No,167751,5.57,6.64,0
BOV-1094,Buffalo,5,Local,No,3,normal,No,No,No,No,Yes,No,No,No,No,120418,5.21,6.68,0
BOV-1095,Cow,4,Sahiwal,Yes,2,normal,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,949320,7.33,6.84,1
BOV-1096,Cow,5,Crossbred,No,3,normal,Yes,No,No,No,No,No,No,No,No,136686,4.61,6.59,0
BOV-1097,Cow,8,Gir,Don't Know,7,normal,No,No,No,No,No,Don't Know,No,No,No,133785,4.9,6.54,0
BOV-1098,Cow,2,Holstein,No,1,normal,No,No,No,No,No,No,No,No,No,94413,4.92,6.42,0
BOV-1099,Cow,7,Crossbred,No,6,normal,No,No,No,No,No,No,No,No,No,58143,4.83,6.56,0
BOV-1100,Cow,4,Sahiwal,No,3,normal,No,No,No,No,No,No,No,No,No,117857,5.03,6.65,0
BOV-1101,Cow,11,Gir,No,8,normal,No,No,No,No,No,No,No,No,No,50238,4.99,6.57,0
BOV-1102,Cow,8,Crossbred,No,6,normal,No,No,No,No,No,No,No,No,No,152306,4.9,6.47,0
BOV-1103,Cow,11,Crossbred,No,8,decreased,No,No,No,No,No,No,No,No,No,115569,5.46,6.61,0
BOV-1104,Buffalo,3,Murrah,No,2,normal,No,No,No,No,No,Yes,No,No,No,163462,5.65,6.52,0
BOV-1105,Cow,3,Gir,Yes,2,normal,No,No,No,No,No,Don't Know,Don't Know,No,No,69868,5.2,6.46,0
BOV-1106,Cow,5,Gir,Yes,3,decreased,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,1903243,9.18,6.99,1
BOV-1107,Buffalo,2,Nili-Ravi,No,1,normal,No,No,No,No,No,Yes,Don't Know,No,No,74922,5.12,6.62,0
BOV-1108,Cow,4,Jersey,Yes,3,decreased,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1692148,7.86,7.33,1
BOV-1109,Cow,10,Sahiwal,No,8,normal,No,No,No,No,No,No,No,No,No,108217,5.53,6.47,0
BOV-1110,Cow,8,Holstein,Don't Know,6,normal,No,No,No,No,No,No,No,No,No,123680,5.31,6.54,0
BOV-1111,Cow,8,Crossbred,No,7,normal,No,No,No,No,No,No,No,No,No,147353,5.7,6.59,0
BOV-1112,Buffalo,5,Nili-Ravi,No,4,normal,No,No,No,No,No,No,No,No,No,153336,4.75,6.54,0
BOV-1113,Buffalo,3,Murrah,No,1,normal,No,No,No,No,No,No,No,No,No,79311,5.21,6.46,0
BOV-1114,Cow,5,Jersey,No,4,decreased,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,1915126,7.15,7.07,1
BOV-1115,Buffalo,7,Local,Yes,5,normal,No,No,No,No,No,No,Don't Know,No,No,133949,4.57,6.49,0
BOV-1116,Buffalo,4,Local,No,2,normal,No,No,No,No,No,No,Don't Know,No,No,93388,5.06,6.49,0
BOV-1117,Cow,2,Gir,No,1,normal,No,No,No,No,No,No,Yes,No,No,52903,4.58,6.52,0
BOV-1118,Buffalo,9,Murrah,No,7,decreased,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,1229987,6.79,7.12,1
BOV-1119,Cow,6,Holstein,No,4,normal,No,No,No,No,No,No,No,No,No,53202,4.97,6.5,0
BOV-1120,Buffalo,6,Jafarabadi,No,4,normal,No,No,No,No,No,No,No,No,No,122101,4.73,6.43,0
BOV-1121,Buffalo,5,Jafarabadi,No,4,normal,No,No,No,No,No,No,No,No,No,170012,5.46,6.64,0
BOV-1122,Cow,7,Holstein,No,6,decreased,No,No,No,No,No,No,No,No,No,77966,4.62,6.56,0
BOV-1123,Cow,4,Holstein,Yes,2,normal,No,No,No,No,No,No,No,No,No,67605,5.44,6.46,0
BOV-1124,Cow,10,Holstein,No,8,decreased,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,2037559,7.54,7.1,1
BOV-1125,Cow,6,Holstein,Yes,4,normal,No,No,No,No,No,No,No,No,No,173570,4.55,6.41,0
BOV-1126,Buffalo,4,Jafarabadi,Yes,3,normal,No,No,No,No,No,No,No,No,No,172621,4.65,6.48,0
BOV-1127,Buffalo,2,Jafarabadi,Yes,1,normal,No,No,No,No,No,No,No,No,No,64581,5.01,6.59,0
BOV-1128,Cow,11,Jersey,No,8,normal,No,No,No,No,No,No,No,No,No,91267,5.17,6.65,0
BOV-1129,Cow,7,Crossbred,No,5,decreased,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,787428,6.67,6.99,1
BOV-1130,Cow,3,Gir,No,1,normal,No,No,No,No,No,No,Don't Know,No,No,100149,4.55,6.62,0
BOV-1131,Cow,4,Gir,No,3,normal,No,No,No,No,No,No,No,No,No,140694,4.7,6.51,0
BOV-1132,Cow,2,Gir,No,1,normal,No,No,No,No,No,No,No,No,No,171598,5.55,6.5,0
BOV-1133,Cow,10,Gir,Yes,8,decreased,No,No,No,No,No,No,No,No,No,120777,5.56,6.43,0
BOV-1134,Buffalo,9,Local,No,7,decreased,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,946627,7.05,7.37,1
BOV-1135,Cow,3,Jersey,No,1,normal,Yes,No,No,No,No,No,No,No,No,135993,5.14,6.44,0
BOV-1136,Cow,9,Sahiwal,No,8,normal,No,No,No,No,No,Don't Know,No,No,No,52415,4.94,6.64,0
BOV-1137,Cow,10,Crossbred,No,8,decreased,No,No,No,No,No,No,No,No,No,117697,4.97,6.56,0
BOV-1138,Cow,2,Holstein,Yes,1,decreased,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,512352,8.46,7.32,1
BOV-1139,Buffalo,6,Local,No,5,normal,No,No,No,No,No,No,No,No,No,153730,5.77,6.46,0
BOV-1140,Buffalo,9,Nili-Ravi,No,8,decreased,No,No,No,Yes,No,Don't Know,No,No,No,125624,4.66,6.69,0
BOV-1141,Cow,3,Gir,No,2,decreased,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,679465,8.15,7.14,1
BOV-1142,Cow,5,Sahiwal,Yes,3,normal,No,No,No,No,No,No,No,No,No,179113,4.84,6.54,0
BOV-1143,Cow,8,Crossbred,No,6,normal,No,No,No,No,No,No,No,No,No,66727,5.63,6.54,0
BOV-1144,Cow,4,Holstein,No,3,normal,No,No,No,No,No,No,No,No,No,53485,5.19,6.61,0
BOV-1145,Cow,6,Holstein,Yes,4,decreased,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,2182275,6.66,6.96,1
BOV-1146,Cow,9,Crossbred,No,7,decreased,Yes,Yes,No,Yes,No,Don't Know,Don't Know,Yes,Yes,1138479,7.89,7.28,1
BOV-1147,Cow,11,Crossbred,No,8,decreased,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,613190,8.41,7.19,1
BOV-1148,Cow,4,Gir,No,2,normal,No,No,No,No,No,No,No,No,No,129800,5.17,6.61,0
BOV-1149,Cow,5,Holstein,No,4,normal,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,734886,8.52,6.83,1
BOV-1150,Buffalo,10,Nili-Ravi,No,8,normal,No,Yes,No,No,No,No,No,Yes,No,105229,5.14,6.4,0
BOV-1151,Cow,8,Sahiwal,Don't Know,6,decreased,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,693993,6.69,7.09,1
BOV-1152,Cow,2,Jersey,No,1,normal,No,No,No,No,No,No,Yes,No,No,175602,5.63,6.53,0
BOV-1153,Cow,5,Jersey,Yes,4,normal,No,No,No,No,No,No,Yes,No,No,83698,5.33,6.7,0
BOV-1154,Buffalo,5,Murrah,No,4,normal,No,No,No,No,No,No,No,No,No,65140,5.24,6.56,0
BOV-1155,Cow,10,Gir,No,8,normal,No,No,No,Yes,No,No,No,No,No,53926,5.08,6.49,0
BOV-1156,Cow,7,Jersey,Don't Know,6,normal,No,No,No,No,No,No,No,No,No,180462,5.32,6.53,0
BOV-1157,Buffalo,10,Murrah,No,8,decreased,No,No,No,No,No,Don't Know,No,No,No,112641,5.8,6.47,0
BOV-1158,Cow,7,Crossbred,Yes,6,decreased,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,1097273,8.18,6.93,1
BOV-1159,Cow,7,Sahiwal,No,6,normal,No,No,No,No,No,No,No,No,No,113329,5.1,6.64,0
BOV-1160,Cow,6,Crossbred,No,4,normal,No,No,No,No,No,Don't Know,No,No,No,128182,4.83,6.63,0
BOV-1161,Cow,6,Sahiwal,Don't Know,4,normal,No,No,No,No,No,No,No,No,No,107704,5.71,6.5,0
BOV-1162,Cow,3,Crossbred,Don't Know,1,normal,No,No,No,No,No,Don't Know,No,No,Yes,70255,5.43,6.69,0
BOV-1163,Cow,9,Crossbred,No,8,normal,No,No,No,No,No,No,No,No,No,86867,5.32,6.41,0
BOV-1164,Cow,9,Crossbred,Yes,8,decreased,Yes,Yes,No,No,Yes,Yes,Yes,No,No,838359,7.58,7.37,1
BOV-1165,Buffalo,2,Jafarabadi,No,1,decreased,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,1353515,7.2,7.3,1
BOV-1166,Cow,9,Sahiwal,Yes,7,normal,No,No,No,No,No,No,Don't Know,No,No,97642,5.28,6.5,0
BOV-1167,Cow,6,Sahiwal,Yes,4,normal,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,2405570,7.07,7.27,1
BOV-1168,Cow,3,Crossbred,No,2,normal,No,No,No,No,Yes,No,No,No,No,179786,5.25,6.51,0
BOV-1169,Cow,3,Jersey,Yes,1,normal,No,No,No,No,Yes,No,No,No,No,177418,4.76,6.68,0
BOV-1170,Cow,7,Gir,No,5,decreased,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,1138148,8.05,7.11,1
BOV-1171,Cow,10,Gir,Don't Know,8,normal,No,No,No,No,No,Don't Know,Don't Know,No,No,83262,4.78,6.42,0
BOV-1172,Cow,2,Gir,No,1,decreased,No,No,No,No,No,No,Don't Know,No,No,82810,4.67,6.67,0
BOV-1173,Cow,7,Sahiwal,No,6,normal,No,No,No,No,No,Don't Know,Don't Know,No,No,188160,4.81,6.59,0
BOV-1174,Cow,10,Sahiwal,Don't Know,8,normal,No,No,Yes,No,No,No,No,No,No,180231,5.72,6.69,0
BOV-1175,Cow,9,Jersey,Yes,8,normal,Yes,Yes,Yes,No,Yes,Yes,Don't Know,Yes,Yes,935435,6.73,7.26,1
BOV-1176,Cow,7,Gir,No,5,decreased,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,639683,7.58,7.05,1
BOV-1177,Cow,4,Gir,Don't Know,2,normal,No,No,No,No,Yes,No,No,No,No,120054,4.58,6.58,0
BOV-1178,Buffalo,9,Murrah,Don't Know,8,normal,No,No,No,No,No,Don't Know,No,No,No,179198,5.56,6.61,0
BOV-1179,Cow,10,Sahiwal,No,8,decreased,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,1725060,8.88,7.38,1
BOV-1180,Cow,2,Gir,No,1,normal,No,No,No,No,No,No,No,No,No,158230,4.69,6.66,0
BOV-1181,Cow,10,Jersey,No,8,decreased,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,509798,7.96,6.83,1
BOV-1182,Buffalo,7,Local,No,5,decreased,Yes,No,No,No,Yes,Yes,Yes,No,No,451532,8.1,7.23,1
BOV-1183,Buffalo,7,Nili-Ravi,No,6,normal,No,No,No,No,No,No,No,No,No,184840,5.1,6.45,0
BOV-1184,Cow,5,Jersey,No,3,normal,No,No,No,No,No,No,Yes,No,No,141511,5.43,6.53,0
BOV-1185,Cow,2,Gir,Yes,1,decreased,No,No,Yes,No,No,Yes,Yes,Yes,Yes,500573,7.6,6.93,1
BOV-1186,Buffalo,11,Local,Yes,8,decreased,No,No,No,No,Yes,Yes,No,Yes,No,1063888,7.23,7.4,1
BOV-1187,Cow,9,Jersey,Yes,7,normal,Yes,No,No,No,Yes,Yes,Yes,No,Yes,724751,6.81,7.31,1
BOV-1188,Cow,3,Crossbred,No,2,decreased,No,No,No,No,No,No,No,No,No,71438,5.72,6.45,0
BOV-1189,Cow,2,Jersey,No,1,normal,No,No,No,No,No,No,No,Yes,No,136906,4.94,6.69,0
BOV-1190,Cow,3,Holstein,Don't Know,1,normal,No,No,No,No,No,No,No,No,No,138127,4.61,6.59,0
BOV-1191,Buffalo,2,Murrah,No,1,normal,No,No,No,No,No,No,No,No,No,168177,4.84,6.49,0
BOV-1192,Buffalo,2,Jafarabadi,Yes,1,decreased,No,No,No,No,No,Don't Know,No,No,No,64012,4.86,6.5,0
BOV-1193,Cow,10,Sahiwal,No,8,normal,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1641708,6.71,6.92,1
BOV-1194,Cow,2,Gir,No,1,normal,No,No,No,No,No,No,Don't Know,No,No,185508,5.44,6.68,0
BOV-1195,Cow,5,Sahiwal,No,3,normal,No,No,No,No,No,No,No,No,No,177209,4.88,6.42,0
BOV-1196,Cow,11,Sahiwal,No,8,normal,No,No,No,No,No,No,No,No,No,91483,5.44,6.68,0
BOV-1197,Buffalo,7,Local,No,5,normal,No,No,No,No,No,No,No,No,No,83983,4.66,6.44,0
BOV-1198,Buffalo,8,Local,No,7,normal,No,No,No,No,No,No,Yes,No,No,79301,4.64,6.52,0
BOV-1199,Buffalo,3,Local,No,2,normal,No,No,No,No,No,No,Don't Know,No,No,142560,5.41,6.43,0
BOV-1200,Cow,7,Crossbred,Yes,6,normal,Yes,Yes,No,No,Yes,Don't Know,Yes,Yes,No,808512,8.32,6.9,1
BOV-1201,Cow,8,Crossbred,No,6,normal,No,No,No,No,No,No,Don't Know,No,No,58942,5.09,6.46,0
BOV-1202,Cow,11,Jersey,Yes,8,normal,No,No,No,No,No,No,Yes,No,No,98090,5.44,6.55,0
BOV-1203,Buffalo,11,Murrah,No,8,decreased,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,857973,9.2,6.8,1
BOV-1204,Cow,3,Sahiwal,Yes,2,normal,No,No,No,No,No,Yes,No,No,No,184366,5.13,6.49,0
BOV-1205,Cow,3,Jersey,No,1,normal,No,No,No,No,No,No,No,Yes,No,102433,5.03,6.64,0
BOV-1206,Cow,11,Holstein,Yes,8,decreased,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,1236733,9.12,6.9,1
BOV-1207,Cow,8,Gir,No,7,normal,No,No,No,No,No,No,Don't Know,No,Yes,63256,5.22,6.67,0
BOV-1208,Cow,2,Crossbred,Don't Know,1,decreased,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,840680,7.75,7.34,1
BOV-1209,Cow,9,Holstein,Yes,7,decreased,No,Yes,No,No,Yes,Yes,Yes,No,No,2038917,8.18,7.16,1
BOV-1210,Cow,4,Gir,Yes,2,normal,No,No,No,No,No,Don't Know,No,No,No,157966,5.75,6.62,0
BOV-1211,Cow,7,Holstein,No,6,normal,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,785413,8.03,7.1,1
BOV-1212,Cow,10,Crossbred,No,8,decreased,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,1601993,7.35,6.85,1
BOV-1213,Cow,7,Crossbred,Yes,5,decreased,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,936846,9.14,7.03,1
